id,customer_uuid,full_name,nik,gender,birth_date,phone,email,address,created_at
1,663ad97f-01be-4bed-9625-6d6729efde24,Jayadi Sirait,0227680402501652,Male,2001-05-20,+628742719211,hendra63@example.com,"Gang Cikapayang No. 25, Metro, Sulawesi Utara 14155",2026-07-07 06:46:22.599816
2,def9b103-5528-41c0-9793-abc6891c0cf7,Puji Samosir,8086319300868759,Female,1993-07-26,+628516448196,harjayalazuardi@example.net,"Gang Cihampelas No. 84, Yogyakarta, SG 82754",2026-07-07 06:46:22.599816
3,b7ac5926-81bf-485b-acdc-e98ca73fd729,Ifa Santoso,5868570220212633,Male,1973-09-17,+628334956459,primahasanah@example.com,"Jalan Cikutra Timur No. 53, Pasuruan, BT 12140",2026-07-07 06:46:22.599816
4,7d976a46-c968-4a1d-8033-a639cae0386e,Nalar Nuraini,7606524296237088,Female,1981-04-07,+628540747414,darsirahpratiwi@example.net,"Jl. W.R. Supratman No. 66, Meulaboh, Sulawesi Barat 06267",2026-07-07 06:46:22.599816
5,981c7061-20ab-49ea-ba48-078235f019a0,Luwar Anggraini,0957248611757453,Female,1993-07-12,+628258532577,iswahyudicahyono@example.net,"Gang M.H Thamrin No. 58, Depok, BA 04186",2026-07-07 06:46:22.599816
6,3d5fbece-ea9d-488e-9641-5c21c13ce6b2,Oskar Yulianti,0016740395980765,Female,1986-04-20,+628396501362,kuswandarimaman@example.net,"Gg. Rungkut Industri No. 585, Purwokerto, NT 73074",2026-07-07 06:46:22.599816
7,c6d0264e-01a9-4645-8f01-ac731f619475,Dr. Kemal Astuti,1449825198266175,Female,1963-04-06,+628946043811,smelani@example.net,"Jalan Sadang Serang No. 916, Serang, MU 78309",2026-07-07 06:46:22.599816
8,c7f5c5ef-11f6-4cea-af67-fcf12e91b432,Diah Nasyidah,5413982250789516,Male,1967-09-12,+628700347116,jayasuwarno@example.net,"Gang Rajawali Barat No. 3, Kota Administrasi Jakarta Utara, ST 33324",2026-07-07 06:46:22.599816
9,5ce3e139-dcb8-4251-9594-1a8ac3c13879,"Tgk. Opung Winarno, S.Ked",2842572396451235,Male,1992-05-14,+628357083812,saputraeko@example.com,"Jl. Bangka Raya No. 9, Samarinda, Nusa Tenggara Timur 48876",2026-07-07 06:46:22.599816
10,6ed49626-99a9-4e8d-932b-7537a97f23bc,Puti Keisha Manullang,0700035245785244,Male,2005-08-09,+628211281557,prabowolatif@example.org,"Jalan Moch. Toha No. 0, Batam, SG 27548",2026-07-07 06:46:22.599816
11,a5d5bd48-749a-4c0f-b4d7-46c48596634e,"Jaga Nasyiah, M.TI.",6348066078115114,Male,1963-04-05,+628190943908,swinarno@example.org,"Gang Ir. H. Djuanda No. 992, Tangerang, Kepulauan Riau 22797",2026-07-07 06:46:22.599816
12,886546d9-1cb4-452e-8345-df74bacdbb6b,"Tgk. Genta Firmansyah, S.Ked",8806500724489103,Female,1976-08-18,+628951889393,bakianto64@example.net,"Jalan Jayawijaya No. 5, Kotamobagu, BA 26678",2026-07-07 06:46:22.599816
13,1d5cf269-8d48-4fa6-8a28-2729188ba4e4,"T. Wisnu Hasanah, S.Psi",2677641207030495,Female,2003-06-28,+628171073976,purwadi80@example.org,"Jl. Rawamangun No. 328, Tebingtinggi, Riau 44843",2026-07-07 06:46:22.599816
14,b951efa7-7cea-408c-b8e9-7f2983aa252f,"Kamal Setiawan, M.Ak",8008495500653263,Male,2003-12-11,+628395201412,bnashiruddin@example.com,"Jl. Sukajadi No. 83, Banda Aceh, Kalimantan Barat 29205",2026-07-07 06:46:22.599816
15,78bb6b0c-6df8-4827-8fbc-a48f3f78a2b9,Unjani Kuswoyo,1649906505513022,Female,1977-05-18,+628580497096,claramelani@example.com,"Jalan Dr. Djunjunan No. 8, Samarinda, Kalimantan Selatan 41517",2026-07-07 06:46:22.599816
16,24ae9d81-cc2f-4b63-801b-2e4e9d6c322a,Nurul Budiyanto,6960826911152672,Female,2000-10-17,+628791007818,tami13@example.net,"Jl. Suryakencana No. 6, Bekasi, JB 79251",2026-07-07 06:46:22.599816
17,d895dda8-a117-4405-a66f-601a80db46be,Lalita Wijayanti,5290680319147519,Female,1968-08-31,+628851976666,nriyanti@example.com,"Jalan Dipatiukur No. 93, Langsa, JT 38346",2026-07-07 06:46:22.599816
18,31412f4a-6912-4b7c-83fe-89ef3085969e,Purwanto Megantara,5851138788221784,Male,1987-02-06,+628776430218,kmarpaung@example.org,"Jalan R.E Martadinata No. 74, Bandar Lampung, Nusa Tenggara Timur 68889",2026-07-07 06:46:22.599816
19,98cef784-7be0-4659-a208-bfcd2d22f5f6,Emas Maheswara,9217141974672173,Male,1987-05-25,+628151580226,sitompullaila@example.net,"Gang Gegerkalong Hilir No. 325, Manado, Sulawesi Barat 47184",2026-07-07 06:46:22.599816
20,d5b3e62b-76d8-4a98-9560-6dbe47f96d3e,"Sarah Gunarto, M.Pd",2843720138926395,Female,1981-05-16,+628139635852,hzulaika@example.org,"Gang HOS. Cokroaminoto No. 616, Serang, Sulawesi Barat 87543",2026-07-07 06:46:22.599816
21,e861cdeb-9679-418b-a8aa-e4ef568739c0,Xanana Maryadi,8259053749181045,Male,2003-03-26,+628975984448,janetlaksmiwati@example.com,"Gg. Kendalsari No. 9, Batu, Kalimantan Selatan 33324",2026-07-07 06:46:22.599816
22,8d754b5a-26b3-4ee4-8701-47ddf64f2be0,"drg. Patricia Sudiati, S.Psi",3063387334421496,Male,1974-07-27,+628296860433,tambaprima@example.com,"Gang Jakarta No. 72, Banjarbaru, LA 03596",2026-07-07 06:46:22.599816
23,8506c807-e7e2-4aa7-a35e-cf0bbfd51a84,"Darmaji Kuswandari, S.I.Kom",4832763465797626,Female,1987-09-21,+628774926227,ikhsanprasetyo@example.org,"Gg. Rajawali Timur No. 04, Blitar, Kalimantan Tengah 71056",2026-07-07 06:46:22.599816
24,5d7b9360-e9ed-433b-9338-0bb394a5946a,Nurul Suwarno,0923810967485733,Female,1985-10-23,+628268453521,aris28@example.com,"Jl. Rungkut Industri No. 847, Sorong, SS 95835",2026-07-07 06:46:22.599816
